date,clade_samples,total_samples,Nextstrain_clade,clade_pct,diff_log,nonvar_diff_log
2022-07-23,5,27,22A (Omicron),0.18518518518518515,-0.7884573603642704,-0.7030300785339886
2022-07-23,18,27,22B (Omicron),0.6666666666666666,-1.5982646118359751,-0.43309432804342024
2022-07-23,3,27,22C (Omicron),0.1111111111111111,-0.5108256237659905,-0.7955739907334151
2022-07-24,1,14,21L (Omicron),0.07142857142857142,0,-0.20273255405408208
2022-07-24,12,14,22B (Omicron),0.8571428571428571,-0.40546510810816416,0
2022-07-24,1,14,recombinant,0.07142857142857142,0,-0.20273255405408208
2022-07-25,5,42,22A (Omicron),0.11904761904761904,0,-1.1102230246251565e-16
2022-07-25,36,42,22B (Omicron),0.8571428571428571,1.0986122886681096,-0.5493061443340549
2022-07-25,1,42,22C (Omicron),0.0238095238095238,-1.0986122886681098,0.5493061443340548
2022-07-26,5,33,22A (Omicron),0.15151515151515152,0,-0.1438410362258904
2022-07-26,27,33,22B (Omicron),0.8181818181818182,-0.2876820724517808,0
2022-07-26,1,33,recombinant,0.0303030303030303,0,-0.1438410362258904
2022-07-27,17,17,22B (Omicron),1,-0.46262352194811296,NA
2022-07-28,5,29,22A (Omicron),0.1724137931034483,0,0.3448404862917296
2022-07-28,24,29,22B (Omicron),0.8275862068965517,0.3448404862917296,0
2022-07-29,1,22,21L (Omicron),0.04545454545454545,0,-0.614350921205202
2022-07-29,1,22,22A (Omicron),0.04545454545454545,-1.6094379124341003,-0.07787161706050183
2022-07-29,19,22,22B (Omicron),0.8636363636363636,-0.2336148511815055,-0.5364793041447001
2022-07-29,1,22,22C (Omicron),0.04545454545454545,0,-0.614350921205202
2022-07-30,4,28,22A (Omicron),0.14285714285714285,1.3862943611198906,0.0955276183813547
2022-07-30,23,28,22B (Omicron),0.8214285714285714,0.1910552367627094,0.6931471805599453
2022-07-30,1,28,22C (Omicron),0.03571428571428571,0,0.7886747989413
2022-07-31,2,16,22A (Omicron),0.125,-0.6931471805599453,-0.4964368863138914
2022-07-31,14,16,22B (Omicron),0.875,-0.49643688631389127,-0.6931471805599454
2022-08-01,13,77,22A (Omicron),0.16883116883116883,1.8718021769015913,0.7520386983881371
2022-08-01,63,77,22B (Omicron),0.8181818181818182,1.5040773967762742,0.9359010884507957
2022-08-01,1,77,22C (Omicron),0.01298701298701298,0,1.6879397868389328
2022-08-02,11,68,22A (Omicron),0.16176470588235295,-0.16705408466316607,0.60672577414024
2022-08-02,53,68,22B (Omicron),0.7794117647058824,-0.1728428128394106,0.6096201382283623
2022-08-02,4,68,22C (Omicron),0.0588235294117647,1.3862943611198906,-0.16994844875128834
2022-08-03,6,46,22A (Omicron),0.13043478260869565,-0.6061358035703157,-0.8465123142711832
2022-08-03,39,46,22B (Omicron),0.8478260869565217,-0.30673026742247567,-0.9962150823451033
2022-08-03,1,46,22C (Omicron),0.0217391304347826,-1.3862943611198906,-0.4564330354963958
2022-08-04,15,101,22A (Omicron),0.1485148514851485,0.9162907318741551,0.4828087140756325
2022-08-04,83,101,22B (Omicron),0.8217821782178217,0.755278961666952,0.5364793041447001
2022-08-04,2,101,22C (Omicron),0.0198019801980198,0.6931471805599453,0.5571898978470357
2022-08-04,1,101,22D (Omicron),0.0099009900990099,NA,NA
2022-08-05,1,113,21K (Omicron),0.00884955752212389,0,0.21119207343820426
2022-08-05,17,113,22A (Omicron),0.1504424778761062,0.1251631429540061,0.1694710257868689
2022-08-05,92,113,22B (Omicron),0.8141592920353983,0.1029479692524422,0.1768760836873902
